code,country,medal,quantity
CHN,People's Republic of China,gold,21
USA,United States of America,gold,20
AUS,Australia,gold,13
FRA,France,gold,12
GBR,Great Britain,gold,12
KOR,Republic of Korea,gold,11
JPN,Japan,gold,10
ITA,Italy,gold,9
GER,Germany,gold,7
NED,Netherlands,gold,6
CAN,Canada,gold,5
NZL,New Zealand,gold,3
HUN,Hungary,gold,3
SWE,Sweden,gold,3
ROU,Romania,gold,3
IRL,Ireland,gold,3
BRA,Brazil,gold,2
UKR,Ukraine,gold,2
CRO,Croatia,gold,2
BEL,Belgium,gold,2
HKG,"Hong Kong, China",gold,2
AZE,Azerbaijan,gold,2
PHI,Philippines,gold,2
SRB,Serbia,gold,2
ISR,Israel,gold,1
ESP,Spain,gold,1
GEO,Georgia,gold,1
SUI,Switzerland,gold,1
KAZ,Kazakhstan,gold,1
RSA,South Africa,gold,1
DEN,Denmark,gold,1
TPE,Chinese Taipei,gold,1
UZB,Uzbekistan,gold,1
CZE,Czechia,gold,1
GUA,Guatemala,gold,1
KEN,Kenya,gold,1
ALG,Algeria,gold,1
ARG,Argentina,gold,1
CHI,Chile,gold,1
DMA,Dominica,gold,1
ECU,Ecuador,gold,1
LCA,Saint Lucia,gold,1
NOR,Norway,gold,1
SLO,Slovenia,gold,1
UGA,Uganda,gold,1
JAM,Jamaica,gold,0
MEX,Mexico,gold,0
PRK,Democratic People's Republic of Korea,gold,0
ETH,Ethiopia,gold,0
GRE,Greece,gold,0
POL,Poland,gold,0
KOS,Kosovo,gold,0
TUR,Türkiye,gold,0
ARM,Armenia,gold,0
COL,Colombia,gold,0
FIJ,Fiji,gold,0
MGL,Mongolia,gold,0
THA,Thailand,gold,0
TUN,Tunisia,gold,0
IND,India,gold,0
TJK,Tajikistan,gold,0
DOM,Dominican Republic,gold,0
LTU,Lithuania,gold,0
MAS,Malaysia,gold,0
MDA,Republic of Moldova,gold,0
AUT,Austria,gold,0
CPV,Cabo Verde,gold,0
CUB,Cuba,gold,0
EGY,Egypt,gold,0
GRN,Grenada,gold,0
INA,Indonesia,gold,0
POR,Portugal,gold,0
SVK,Slovakia,gold,0
CHN,People's Republic of China,silver,18
USA,United States of America,silver,30
AUS,Australia,silver,11
FRA,France,silver,15
