code,country,gold,silver,bronze
CHN,People's Republic of China,22,19,14
USA,United States of America,21,30,28
AUS,Australia,14,12,8
FRA,France,13,16,19
GBR,Great Britain,12,13,18
KOR,Republic of Korea,11,8,7
JPN,Japan,10,6,11
ITA,Italy,9,10,6
GER,Germany,8,5,4
NED,Netherlands,7,5,6
CAN,Canada,5,4,8
NZL,New Zealand,3,5,1
HUN,Hungary,3,3,2
SWE,Sweden,3,3,2
ROU,Romania,3,3,1
IRL,Ireland,3,0,3
BRA,Brazil,2,5,6
UKR,Ukraine,2,2,3
CRO,Croatia,2,1,2
BEL,Belgium,2,0,3
HKG,"Hong Kong, China",2,0,2
AZE,Azerbaijan,2,0,0
PHI,Philippines,2,0,0
SRB,Serbia,2,0,0
ISR,Israel,1,4,1
ESP,Spain,1,3,5
SUI,Switzerland,1,2,4
GEO,Georgia,1,2,1
KAZ,Kazakhstan,1,1,2
RSA,South Africa,1,1,2
KEN,Kenya,1,1,1
DEN,Denmark,1,1,0
TPE,Chinese Taipei,1,0,3
UZB,Uzbekistan,1,0,2
CZE,Czechia,1,0,1
GUA,Guatemala,1,0,1
ALG,Algeria,1,0,0
ARG,Argentina,1,0,0
CHI,Chile,1,0,0
DMA,Dominica,1,0,0
ECU,Ecuador,1,0,0
LCA,Saint Lucia,1,0,0
NOR,Norway,1,0,0
SLO,Slovenia,1,0,0
UGA,Uganda,1,0,0
PRK,Democratic People's Republic of Korea,0,2,3
JAM,Jamaica,0,2,1
MEX,Mexico,0,2,1
ETH,Ethiopia,0,2,0
GRE,Greece,0,1,5
POL,Poland,0,1,3
KOS,Kosovo,0,1,1
TUR,Türkiye,0,1,1
ARM,Armenia,0,1,0
COL,Colombia,0,1,0
FIJ,Fiji,0,1,0
MGL,Mongolia,0,1,0
THA,Thailand,0,1,0
TUN,Tunisia,0,1,0
IND,India,0,0,3
TJK,Tajikistan,0,0,3
DOM,Dominican Republic,0,0,2
LTU,Lithuania,0,0,2
MAS,Malaysia,0,0,2
MDA,Republic of Moldova,0,0,2
AUT,Austria,0,0,1
CPV,Cabo Verde,0,0,1
CUB,Cuba,0,0,1
EGY,Egypt,0,0,1
GRN,Grenada,0,0,1
INA,Indonesia,0,0,1
KGZ,Kyrgyzstan,0,0,1
POR,Portugal,0,0,1
SVK,Slovakia,0,0,1
