code,country
CHN,People's Republic of China
JPN,Japan
FRA,France
GBR,Great Britain
AUS,Australia
KOR,Republic of Korea
USA,United States of America
ITA,Italy
CAN,Canada
GER,Germany
HKG,"Hong Kong, China"
NED,Netherlands
NZL,New Zealand
KAZ,Kazakhstan
RSA,South Africa
BEL,Belgium
GUA,Guatemala
IRL,Ireland
ARG,Argentina
AZE,Azerbaijan
ROU,Romania
SLO,Slovenia
SRB,Serbia
UZB,Uzbekistan
PRK,Democratic People's Republic of Korea
BRA,Brazil
POL,Poland
SWE,Sweden
KOS,Kosovo
MEX,Mexico
SUI,Switzerland
TUR,Türkiye
FIJ,Fiji
GEO,Georgia
MGL,Mongolia
TUN,Tunisia
IND,India
MDA,Republic of Moldova
CRO,Croatia
EGY,Egypt
ESP,Spain
HUN,Hungary
SVK,Slovakia
TJK,Tajikistan
UKR,Ukraine
