code,country
ALG,Algeria
ARG,Argentina
ARM,Armenia
AUS,Australia
AUT,Austria
AZE,Azerbaijan
BEL,Belgium
BRA,Brazil
BRN,Bahrain
CAN,Canada
CHI,Chile
CHN,People's Republic of China
COL,Colombia
CPV,Cabo Verde
CRO,Croatia
CUB,Cuba
CYP,Cyprus
CZE,Czechia
DEN,Denmark
DMA,Dominica
DOM,Dominican Republic
ECU,Ecuador
EGY,Egypt
ESP,Spain
ETH,Ethiopia
FIJ,Fiji
FRA,France
GBR,Great Britain
GEO,Georgia
GER,Germany
GRE,Greece
GRN,Grenada
GUA,Guatemala
HKG,"Hong Kong, China"
HUN,Hungary
INA,Indonesia
IND,India
IRI,Islamic Republic of Iran
IRL,Ireland
ISR,Israel
ITA,Italy
JAM,Jamaica
JPN,Japan
KAZ,Kazakhstan
KEN,Kenya
KGZ,Kyrgyzstan
KOR,Republic of Korea
KOS,Kosovo
LCA,Saint Lucia
LTU,Lithuania
MAR,Morocco
MAS,Malaysia
MDA,Republic of Moldova
MEX,Mexico
MGL,Mongolia
NED,Netherlands
NOR,Norway
NZL,New Zealand
PER,Peru
PHI,Philippines
POL,Poland
POR,Portugal
PRK,Democratic People's Republic of Korea
ROU,Romania
RSA,South Africa
SLO,Slovenia
SRB,Serbia
SUI,Switzerland
SVK,Slovakia
SWE,Sweden
THA,Thailand
TJK,Tajikistan
TPE,Chinese Taipei
TUN,Tunisia
TUR,Türkiye
UGA,Uganda
UKR,Ukraine
USA,United States of America
UZB,Uzbekistan
ZAM,Zambia
